failure,rawReadErrorRate,spinUpTime,startStopCount,reallocatedSectors,seekErrorRate,powerOnHours,spinRetryCount,powerCycleCount,reportedUncorrect,loadCycleCount,temperature,pendingSectors,offlineUncorrectable,crcErrorCount,brand_HGST,brand_Other,brand_Seagate,brand_Toshiba,brand_WD
0,0.0,8126.0,7.0,0.0,0.0,10375.0,0.0,7.0,0.0,15.0,31.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,6921.0,19.0,0.0,0.0,21313.0,0.0,19.0,0.0,54.0,28.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,7718.0,6.0,0.0,0.0,33265.0,0.0,6.0,0.0,122.0,30.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,534.0,19.0,0.0,0.0,67582.0,0.0,19.0,0.0,200.0,36.0,0.0,0.0,0.0,1,0,0,0,0
0,0.0,4302.0,9.0,0.0,0.0,6394.0,0.0,9.0,0.0,18.0,24.0,0.0,0.0,0.0,0,0,0,1,0
1,2228266.0,355.0,9.0,0.0,0.0,5468.0,0.0,9.0,0.0,272.0,42.0,280.0,0.0,0.0,0,0,0,0,1
0,0.0,9506.0,15.0,0.0,0.0,3625.0,0.0,15.0,0.0,22.0,33.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,337.0,9.0,0.0,0.0,1576.0,0.0,9.0,0.0,107.0,33.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,0.0,7.0,0.0,0.0,33480.0,0.0,7.0,0.0,1243.0,36.0,0.0,0.0,0.0,1,0,0,0,0
0,36080072.0,0.0,11.0,0.0,254654792.0,35298.0,0.0,11.0,0.0,1704.0,26.0,0.0,0.0,0.0,0,0,1,0,0
0,38945648.0,0.0,50.0,0.0,782416044.0,36868.0,0.0,50.0,0.0,2451.0,37.0,0.0,0.0,3.0,0,0,1,0,0
0,0.0,7943.0,8.0,0.0,0.0,11188.0,0.0,8.0,0.0,21.0,26.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,347.0,9.0,0.0,0.0,2264.0,0.0,9.0,0.0,267.0,38.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,9362.0,16.0,0.0,0.0,3260.0,0.0,16.0,0.0,26.0,37.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,350.0,13.0,0.0,0.0,8453.0,0.0,13.0,0.0,817.0,35.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,342.0,11.0,0.0,0.0,3576.0,0.0,11.0,0.0,361.0,40.0,0.0,0.0,0.0,0,0,0,0,1
0,200638896.0,0.0,21.0,536.0,4300485817.0,43291.0,0.0,21.0,25.0,10792.0,33.0,72.0,72.0,0.0,0,0,1,0,0
0,40605872.0,0.0,4.0,0.0,913609151.0,36388.0,0.0,4.0,0.0,1811.0,30.0,0.0,0.0,0.0,0,0,1,0,0
0,65147536.0,0.0,9.0,0.0,4197689071.0,73049.0,0.0,9.0,0.0,335.0,35.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,7989.0,11.0,0.0,0.0,18690.0,0.0,11.0,0.0,40.0,33.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,7726.0,5.0,0.0,0.0,32053.0,0.0,5.0,0.0,155.0,35.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,8016.0,14.0,0.0,0.0,18504.0,0.0,14.0,0.0,832.0,26.0,0.0,0.0,0.0,0,0,0,1,0
0,149408088.0,0.0,1.0,0.0,135488571.0,13508.0,0.0,1.0,0.0,3972.0,24.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,0.0,9.0,0.0,0.0,49412.0,0.0,9.0,0.0,1859.0,25.0,0.0,0.0,0.0,1,0,0,0,0
0,0.0,7840.0,13.0,0.0,0.0,11580.0,0.0,13.0,0.0,29.0,37.0,0.0,0.0,0.0,0,0,0,1,0
0,87435232.0,0.0,5.0,0.0,89148147.0,31869.0,0.0,5.0,0.0,2363.0,37.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,9379.0,11.0,0.0,0.0,2511.0,0.0,11.0,0.0,20.0,34.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,531.0,19.0,0.0,0.0,65289.0,0.0,19.0,0.0,447.0,35.0,0.0,0.0,0.0,1,0,0,0,0
0,0.0,8128.0,16.0,0.0,0.0,16755.0,0.0,16.0,0.0,30.0,24.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,365.0,12.0,0.0,0.0,6045.0,0.0,12.0,0.0,300.0,40.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,8067.0,10.0,0.0,0.0,18014.0,0.0,10.0,0.0,1337.0,28.0,0.0,0.0,0.0,0,0,0,1,0
0,100176256.0,0.0,14.0,0.0,2919318915.0,70714.0,0.0,14.0,0.0,95703.0,29.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,380.0,14.0,0.0,0.0,32209.0,0.0,14.0,0.0,972.0,35.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,7975.0,27.0,0.0,0.0,14398.0,0.0,27.0,0.0,47.0,25.0,0.0,0.0,0.0,0,0,0,1,0
